             ********************学生投档情况*********************
一本线：482 二本线：331 一本计划人数：128 二本计划人数：48
成功投档学生信息如下：
19000308 石馥凌 718 清华大学
19000620 夏纯圣 717 清华大学
19000313 张欢昕 717 清华大学
19000021 陈菊沅 711 北京大学
19000001 姜菊天 702 北京大学
19000017 朱德伊 688 华中科技大学
19000721 秦浩媛 684 北京大学
19000004 卢子林 680 武汉大学
19000406 高毅依 675 华中科技大学
19000108 欧阳娴思 674 武汉大学
19000223 许君尧 667 华中科技大学
19000118 侯钢蕊 665 武汉大学
19000416 韩富栋 664 华中科技大学
19000012 尹沅文 663 武汉大学
19000310 万卓春 663 武汉大学
19000812 蔡博嘉 662 武汉大学
19000519 段环承 662 华中科技大学
19000214 江东 661 华中科技大学
19000526 武钰 659 武汉大学
19000710 何柔 658 华中科技大学
19000219 尹文倩 656 武汉大学
19000508 徐涓香 656 武汉理工大学
19000204 贺娴凌 655 华中农业大学
19000819 马韵红 655 中国地质大学
19000719 上官莉勋 654 华中农业大学
19000319 孟雅恒 652 华中科技大学
19000516 石海凤 651 武汉理工大学
19000704 万婉尧 651 华中师范大学
19000425 龚娟 649 中南财经政法大学
19000016 夏侯林筠 646 中国地质大学
19000326 东方怡聪 645 华中农业大学
19000403 姜华萱 642 武汉理工大学
19000808 袁洁莺 641 华中农业大学
19000325 冯洁月 641 华中农业大学
19000823 康琳德 640 武汉理工大学
19000514 袁洁乾 638 湖北工业大学
19000402 徐婉钢 637 武汉工程大学
19000422 胡莉琴 634 长江大学
19000603 袁沅哲 634 中南财经政法大学
19000407 吕宇燕 633 武汉理工大学
19000428 郝尧英 632 武汉理工大学
19000818 傅民东 632 湖北工业大学
19000621 吴芬梦 631 中南财经政法大学
19000429 汪雅茗 630 武汉理工大学
19000316 廖妍娥 630 中南财经政法大学
19000619 魏倩岚 629 中国地质大学
19000820 丁梦栋 628 武汉理工大学
19000107 薛枫军 622 中南财经政法大学
19000109 李融荣 622 湖北大学
19000824 邱筠璧 622 中国地质大学
19000725 戴婕宜 621 武汉理工大学
19000203 孔荷芸 621 中国地质大学
19000228 郭雄淳 620 华中师范大学
19000320 金莲蓓 620 武汉理工大学
19000324 吕泉平 620 湖北工业大学
19000523 宋君钰 619 三峡大学
19000226 范婕英 618 中国地质大学
19000410 钟珊昊 618 华中师范大学
19000505 王珠瑞 617 三峡大学
19000901 顾容沂 609 华中师范大学
19000225 西门卫恒 606 湖北大学
19000530 石梦澜 600 三峡大学
19000811 阎枝玲 579 湖北大学
19000412 熊玲 573 武汉工程大学
19000008 乔榕羽 570 华中师范大学
19000222 程宣竹 558 武汉工程大学
19000626 苏宸佳 558 湖北工业大学
19000127 谭宸晨 558 中国地质大学
19000828 蒋馥梦 554 武汉工程大学
19000430 张菱彤 554 长江大学
19000723 冯霞春 552 湖北大学
19000417 卢韵乾 551 武汉工程大学
19000720 邹龄琦 548 武汉工程大学
19000717 张亚淑 544 三峡大学
19000221 乔红卿 542 长江大学
19000029 徐尧依 542 武汉工程大学
19000420 侯馥生 540 三峡大学
19000730 田月华 535 武汉工程大学
19000522 宋冰琰 535 长江大学
19000112 李筠宜 534 湖北工业大学
19000606 张枫欣 534 中国地质大学
19000011 林明林 534 武汉工程大学
19000418 东方淇柔 534 湖北工业大学
19000230 黄泽洁 532 湖北大学
19000610 蔡佳薇 530 长江大学
19000102 王蓓冰 529 武汉工程大学
19000309 范乾玉 526 华中师范大学
19000821 胡沅黛 526 长江大学
19000807 西门尧泉 523 武汉工程大学
19000805 文枝莉 523 湖北工业大学
19000116 毛琪妍 523 三峡大学
19000002 崔舒宣 522 华中师范大学
19000512 龙菁勋 522 湖北大学
19000515 田希吉 521 华中师范大学
19000103 张霄洋 520 三峡大学
19000315 曹栋巧 520 湖北大学
19000829 武含晶 518 湖北工业大学
19000025 史昭琦 516 长江大学
19000814 吴乾洁 516 三峡大学
19000604 黄欣聪 515 长江大学
19000105 白峰 513 长江大学
19000715 邓婷婕 512 三峡大学
19000327 彭可菊 512 长江大学
19000802 郭蕊智 510 三峡大学
